Data,Productie[MW],Carbune[MW],Hidrocarburi[MW],Ape[MW],Nuclear[MW],Eolian[MW],Foto[MW],Biomasa[MW],Sold[MW],Consum_Max[MW]
01-01-2024 15:53:05,5560.0,728.0,1415.0,1209.0,1396.0,707.0,75.0,31.0,-637,4923.0
01-01-2024 15:43:14,5532.0,731.0,1408.0,1209.0,1398.0,656.0,98.0,32.0,-644,4888.0
01-01-2024 15:33:24,5528.0,736.0,1412.0,1209.0,1396.0,629.0,114.0,32.0,-687,4841.0
01-01-2024 15:23:34,5522.0,727.0,1410.0,1211.0,1399.0,587.0,155.0,32.0,-732,4824.0
01-01-2024 15:13:06,5495.0,732.0,1414.0,1212.0,1395.0,548.0,162.0,32.0,-717,4824.0
01-01-2024 15:03:06,5443.0,729.0,1408.0,1194.0,1394.0,497.0,189.0,32.0,-679,4824.0
01-01-2024 14:53:06,5144.0,734.0,1400.0,970.0,1393.0,442.0,174.0,32.0,-439,4705.0
01-01-2024 14:43:15,5179.0,736.0,1410.0,970.0,1398.0,430.0,203.0,32.0,-486,4692.0
01-01-2024 14:33:25,5201.0,730.0,1405.0,966.0,1396.0,426.0,245.0,31.0,-554,4680.0
01-01-2024 14:23:35,5186.0,723.0,1411.0,970.0,1393.0,403.0,253.0,32.0,-519,4680.0
01-01-2024 14:13:05,5184.0,733.0,1410.0,970.0,1398.0,381.0,260.0,32.0,-536,4680.0
01-01-2024 14:03:05,5169.0,743.0,1410.0,971.0,1397.0,363.0,252.0,32.0,-528,4680.0
01-01-2024 13:53:06,5161.0,736.0,1412.0,947.0,1390.0,360.0,285.0,31.0,-514,4646.0
01-01-2024 13:43:16,5148.0,731.0,1401.0,949.0,1394.0,368.0,273.0,31.0,-510,4637.0
01-01-2024 13:33:26,5182.0,723.0,1400.0,942.0,1397.0,376.0,315.0,30.0,-557,4626.0
01-01-2024 13:23:05,5183.0,724.0,1386.0,931.0,1398.0,366.0,347.0,31.0,-575,4615.0
01-01-2024 13:13:05,5168.0,736.0,1403.0,945.0,1397.0,342.0,314.0,31.0,-570,4615.0
01-01-2024 13:03:05,5154.0,735.0,1410.0,947.0,1395.0,326.0,310.0,31.0,-566,4615.0
01-01-2024 12:53:07,5156.0,731.0,1407.0,950.0,1397.0,316.0,322.0,30.0,-565,4592.0
