Data,Productie[MW],Carbune[MW],Hidrocarburi[MW],Ape[MW],Nuclear[MW],Eolian[MW],Foto[MW],Biomasa[MW],Sold[MW],Consum_Max[MW]
02-01-2024 05:50:05,5758.0,834.0,1425.0,1497.0,1393.0,579.0,-1.0,31.0,-1115,4644.0
02-01-2024 05:40:05,5791.0,847.0,1431.0,1495.0,1396.0,592.0,-1.0,32.0,-1193,4598.0
02-01-2024 05:30:13,5783.0,836.0,1416.0,1491.0,1397.0,609.0,3.0,32.0,-1218,4565.0
02-01-2024 05:20:23,5783.0,816.0,1379.0,1460.0,1395.0,702.0,-1.0,32.0,-1276,4565.0
02-01-2024 05:10:33,5877.0,814.0,1380.0,1466.0,1393.0,792.0,-1.0,32.0,-1352,4565.0
02-01-2024 05:00:06,5998.0,819.0,1375.0,1516.0,1391.0,865.0,-1.0,32.0,-1496,4565.0
02-01-2024 04:50:06,6108.0,823.0,1386.0,1550.0,1395.0,923.0,-1.0,32.0,-1633,4485.0
02-01-2024 04:40:06,6144.0,813.0,1381.0,1545.0,1394.0,980.0,-1.0,32.0,-1666,4485.0
02-01-2024 04:30:14,6149.0,804.0,1356.0,1520.0,1398.0,1041.0,-1.0,31.0,-1642,4508.0
02-01-2024 04:20:24,6165.0,800.0,1338.0,1512.0,1393.0,1091.0,-1.0,32.0,-1678,4487.0
02-01-2024 04:10:34,6190.0,797.0,1335.0,1524.0,1398.0,1098.0,-1.0,32.0,-1692,4498.0
02-01-2024 04:00:06,6365.0,780.0,1413.0,1590.0,1395.0,1156.0,-1.0,32.0,-1890,4485.0
02-01-2024 03:50:06,6351.0,726.0,1412.0,1525.0,1396.0,1262.0,-1.0,32.0,-1874,4486.0
02-01-2024 03:40:06,6419.0,727.0,1401.0,1523.0,1394.0,1343.0,-1.0,31.0,-1951,4486.0
02-01-2024 03:30:15,6542.0,720.0,1394.0,1507.0,1398.0,1492.0,-1.0,32.0,-2048,4494.0
02-01-2024 03:20:25,6710.0,702.0,1366.0,1561.0,1399.0,1652.0,-1.0,31.0,-2187,4523.0
02-01-2024 03:10:35,6721.0,684.0,1308.0,1515.0,1397.0,1787.0,-1.0,32.0,-2213,4508.0
02-01-2024 03:01:05,6827.0,689.0,1337.0,1509.0,1395.0,1866.0,-1.0,32.0,-2341,4486.0
02-01-2024 02:51:05,6827.0,687.0,1323.0,1497.0,1392.0,1896.0,-1.0,32.0,-2299,4535.0
02-01-2024 02:41:05,6858.0,691.0,1331.0,1502.0,1400.0,1903.0,-1.0,32.0,-2334,4535.0
02-01-2024 02:31:15,6859.0,686.0,1314.0,1501.0,1395.0,1931.0,-1.0,32.0,-2353,4535.0
02-01-2024 02:21:25,6876.0,687.0,1314.0,1495.0,1398.0,1951.0,-1.0,32.0,-2331,4545.0
02-01-2024 02:11:35,6901.0,688.0,1319.0,1492.0,1395.0,1968.0,-1.0,32.0,-2362,4539.0
02-01-2024 02:02:05,6996.0,694.0,1346.0,1537.0,1397.0,1985.0,-1.0,32.0,-2430,4567.0
02-01-2024 01:52:05,7059.0,689.0,1348.0,1530.0,1396.0,2063.0,-1.0,32.0,-2490,4628.0
02-01-2024 01:42:05,7072.0,693.0,1339.0,1526.0,1396.0,2087.0,-1.0,31.0,-2469,4628.0
02-01-2024 01:32:15,7085.0,704.0,1352.0,1538.0,1399.0,2061.0,-1.0,31.0,-2457,4628.0
02-01-2024 01:22:25,7145.0,710.0,1367.0,1542.0,1397.0,2097.0,-1.0,32.0,-2499,4646.0
02-01-2024 01:12:35,7178.0,703.0,1371.0,1537.0,1398.0,2138.0,-1.0,32.0,-2482,4696.0
02-01-2024 01:03:05,7134.0,696.0,1337.0,1511.0,1399.0,2161.0,-1.0,32.0,-2438,4696.0
02-01-2024 00:53:05,7016.0,700.0,1372.0,1329.0,1391.0,2193.0,-1.0,32.0,-2321,4794.0
02-01-2024 00:43:05,7058.0,720.0,1392.0,1343.0,1393.0,2180.0,-1.0,31.0,-2294,4794.0
02-01-2024 00:33:15,7085.0,728.0,1415.0,1365.0,1400.0,2146.0,-1.0,31.0,-2317,4794.0
02-01-2024 00:23:25,7118.0,732.0,1419.0,1366.0,1398.0,2172.0,-1.0,32.0,-2291,4827.0
02-01-2024 00:13:35,7113.0,734.0,1421.0,1355.0,1399.0,2171.0,-1.0,32.0,-2276,4837.0
02-01-2024 00:04:05,7140.0,725.0,1418.0,1375.0,1396.0,2193.0,-1.0,32.0,-2261,4879.0
01-01-2024 23:54:05,7274.0,720.0,1399.0,1550.0,1395.0,2179.0,-1.0,32.0,-2382,5007.0
01-01-2024 23:44:05,7288.0,719.0,1406.0,1553.0,1396.0,2182.0,-1.0,31.0,-2310,5007.0
01-01-2024 23:34:15,7345.0,731.0,1407.0,1561.0,1396.0,2218.0,-1.0,32.0,-2344,5007.0
01-01-2024 23:24:25,7376.0,729.0,1425.0,1566.0,1399.0,2227.0,-1.0,31.0,-2326,5050.0
01-01-2024 23:14:35,7326.0,721.0,1423.0,1567.0,1398.0,2185.0,-1.0,32.0,-2241,5084.0
01-01-2024 23:04:06,7387.0,748.0,1440.0,1637.0,1396.0,2135.0,-1.0,31.0,-2255,5131.0
01-01-2024 22:54:06,7606.0,727.0,1422.0,1918.0,1398.0,2110.0,-1.0,32.0,-2416,5280.0
01-01-2024 22:44:06,7593.0,727.0,1420.0,1915.0,1397.0,2102.0,-1.0,32.0,-2366,5280.0
01-01-2024 22:34:16,7623.0,726.0,1427.0,1923.0,1399.0,2116.0,-1.0,32.0,-2356,5280.0
01-01-2024 22:24:26,7609.0,728.0,1413.0,1925.0,1396.0,2117.0,-1.0,31.0,-2311,5298.0
01-01-2024 22:14:05,7644.0,735.0,1420.0,1938.0,1399.0,2116.0,-1.0,32.0,-2282,5362.0
01-01-2024 22:04:05,7671.0,728.0,1421.0,1954.0,1400.0,2131.0,-1.0,32.0,-2291,5379.0
01-01-2024 21:54:05,7653.0,702.0,1369.0,1990.0,1398.0,2164.0,-1.0,31.0,-2211,5511.0
01-01-2024 21:44:07,7668.0,707.0,1372.0,1988.0,1401.0,2168.0,-1.0,33.0,-2228,5511.0
01-01-2024 21:34:17,7730.0,726.0,1404.0,2032.0,1393.0,2145.0,-1.0,32.0,-2217,5513.0
01-01-2024 21:24:27,7736.0,733.0,1426.0,2042.0,1399.0,2106.0,-1.0,31.0,-2191,5546.0
01-01-2024 21:14:05,7718.0,744.0,1438.0,2054.0,1398.0,2052.0,-1.0,32.0,-2159,5559.0
01-01-2024 21:04:05,7797.0,745.0,1439.0,2090.0,1396.0,2096.0,-1.0,31.0,-2219,5577.0
01-01-2024 21:04:05,7797.0,745.0,1439.0,2090.0,1396.0,2096.0,-1.0,31.0,-2219,5577.0
01-01-2024 20:54:05,7797.0,731.0,1423.0,2177.0,1399.0,2036.0,-1.0,32.0,-2188,5677.0
01-01-2024 20:44:08,7767.0,733.0,1425.0,2172.0,1398.0,2007.0,-1.0,32.0,-2072,5695.0
01-01-2024 20:34:18,7748.0,730.0,1417.0,2176.0,1396.0,1997.0,-1.0,31.0,-2077,5677.0
01-01-2024 20:24:28,7790.0,731.0,1428.0,2170.0,1396.0,2034.0,-1.0,32.0,-2094,5696.0
01-01-2024 20:24:28,7790.0,731.0,1428.0,2170.0,1396.0,2034.0,-1.0,32.0,-2094,5696.0
01-01-2024 20:14:05,7791.0,729.0,1419.0,2167.0,1400.0,2044.0,-1.0,32.0,-2090,5700.0
01-01-2024 20:04:05,7764.0,734.0,1424.0,2174.0,1399.0,2003.0,-1.0,31.0,-2052,5713.0
01-01-2024 19:54:05,7678.0,734.0,1421.0,2167.0,1394.0,1932.0,-1.0,31.0,-1935,5743.0
01-01-2024 19:44:09,7549.0,738.0,1436.0,2051.0,1397.0,1896.0,-1.0,31.0,-1830,5743.0
01-01-2024 19:34:19,7495.0,743.0,1437.0,2046.0,1398.0,1839.0,-1.0,32.0,-1751,5744.0
01-01-2024 19:24:29,7463.0,741.0,1439.0,2043.0,1396.0,1813.0,-1.0,32.0,-1718,5745.0
01-01-2024 19:14:05,7416.0,736.0,1419.0,2039.0,1397.0,1794.0,-1.0,32.0,-1677,5743.0
01-01-2024 19:04:05,7409.0,731.0,1429.0,2033.0,1397.0,1788.0,-1.0,32.0,-1652,5757.0
01-01-2024 18:54:05,7319.0,721.0,1399.0,1958.0,1396.0,1812.0,-1.0,32.0,-1570,5759.0
01-01-2024 18:44:10,7343.0,719.0,1404.0,1966.0,1396.0,1827.0,-1.0,32.0,-1596,5759.0
01-01-2024 18:34:20,7305.0,693.0,1367.0,1955.0,1393.0,1865.0,-1.0,32.0,-1552,5759.0
01-01-2024 18:24:30,7369.0,689.0,1324.0,2057.0,1396.0,1871.0,-1.0,32.0,-1620,5759.0
01-01-2024 18:14:05,7512.0,723.0,1402.0,2114.0,1396.0,1845.0,-1.0,32.0,-1751,5762.0
01-01-2024 18:04:06,7419.0,716.0,1386.0,2095.0,1396.0,1795.0,-1.0,32.0,-1694,5759.0
01-01-2024 17:54:06,7334.0,735.0,1424.0,2067.0,1395.0,1681.0,-1.0,32.0,-1587,5746.0
01-01-2024 17:44:11,7206.0,735.0,1420.0,2068.0,1397.0,1554.0,-1.0,31.0,-1470,5736.0
01-01-2024 17:34:21,7088.0,728.0,1408.0,2060.0,1395.0,1461.0,4.0,32.0,-1375,5713.0
01-01-2024 17:24:31,7000.0,735.0,1420.0,2061.0,1395.0,1356.0,-1.0,32.0,-1333,5670.0
01-01-2024 17:14:05,6867.0,722.0,1404.0,2056.0,1396.0,1256.0,0.0,32.0,-1263,5670.0
01-01-2024 17:04:05,6788.0,724.0,1403.0,2042.0,1392.0,1193.0,1.0,32.0,-1294,5670.0
01-01-2024 16:54:04,6708.0,731.0,1422.0,1969.0,1395.0,1157.0,3.0,31.0,-1279,5429.0
01-01-2024 16:43:13,6675.0,736.0,1419.0,1970.0,1395.0,1104.0,20.0,31.0,-1396,5279.0
01-01-2024 16:33:23,6602.0,733.0,1424.0,1963.0,1397.0,1030.0,25.0,32.0,-1404,5198.0
01-01-2024 16:23:33,6495.0,734.0,1416.0,1948.0,1396.0,937.0,32.0,32.0,-1367,5185.0
01-01-2024 16:13:05,6333.0,736.0,1431.0,1832.0,1396.0,863.0,42.0,32.0,-1308,5185.0
01-01-2024 16:03:05,6250.0,745.0,1426.0,1798.0,1396.0,788.0,64.0,32.0,-1273,5185.0
01-01-2024 15:53:05,5560.0,728.0,1415.0,1209.0,1396.0,707.0,75.0,31.0,-637,4923.0
01-01-2024 15:43:14,5532.0,731.0,1408.0,1209.0,1398.0,656.0,98.0,32.0,-644,4888.0
01-01-2024 15:33:24,5528.0,736.0,1412.0,1209.0,1396.0,629.0,114.0,32.0,-687,4841.0
01-01-2024 15:23:34,5522.0,727.0,1410.0,1211.0,1399.0,587.0,155.0,32.0,-732,4824.0
01-01-2024 15:13:06,5495.0,732.0,1414.0,1212.0,1395.0,548.0,162.0,32.0,-717,4824.0
01-01-2024 15:03:06,5443.0,729.0,1408.0,1194.0,1394.0,497.0,189.0,32.0,-679,4824.0
01-01-2024 14:53:06,5144.0,734.0,1400.0,970.0,1393.0,442.0,174.0,32.0,-439,4705.0
01-01-2024 14:43:15,5179.0,736.0,1410.0,970.0,1398.0,430.0,203.0,32.0,-486,4692.0
01-01-2024 14:33:25,5201.0,730.0,1405.0,966.0,1396.0,426.0,245.0,31.0,-554,4680.0
01-01-2024 14:23:35,5186.0,723.0,1411.0,970.0,1393.0,403.0,253.0,32.0,-519,4680.0
01-01-2024 14:13:05,5184.0,733.0,1410.0,970.0,1398.0,381.0,260.0,32.0,-536,4680.0
01-01-2024 14:03:05,5169.0,743.0,1410.0,971.0,1397.0,363.0,252.0,32.0,-528,4680.0
01-01-2024 13:53:06,5161.0,736.0,1412.0,947.0,1390.0,360.0,285.0,31.0,-514,4646.0
01-01-2024 13:43:16,5148.0,731.0,1401.0,949.0,1394.0,368.0,273.0,31.0,-510,4637.0
01-01-2024 13:33:26,5182.0,723.0,1400.0,942.0,1397.0,376.0,315.0,30.0,-557,4626.0
01-01-2024 13:23:05,5183.0,724.0,1386.0,931.0,1398.0,366.0,347.0,31.0,-575,4615.0
01-01-2024 13:13:05,5168.0,736.0,1403.0,945.0,1397.0,342.0,314.0,31.0,-570,4615.0
01-01-2024 13:03:05,5154.0,735.0,1410.0,947.0,1395.0,326.0,310.0,31.0,-566,4615.0
01-01-2024 12:53:07,5156.0,731.0,1407.0,950.0,1397.0,316.0,322.0,30.0,-565,4592.0
01-01-2024 12:43:17,5155.0,725.0,1409.0,952.0,1397.0,309.0,328.0,31.0,-583,4572.0
01-01-2024 12:33:27,5154.0,732.0,1409.0,942.0,1396.0,305.0,333.0,31.0,-602,4552.0
01-01-2024 12:23:05,5147.0,729.0,1395.0,931.0,1398.0,297.0,367.0,30.0,-653,4522.0
01-01-2024 12:13:05,5100.0,718.0,1373.0,923.0,1395.0,298.0,362.0,31.0,-645,4522.0
01-01-2024 12:03:05,5013.0,688.0,1337.0,898.0,1396.0,311.0,352.0,30.0,-591,4522.0
01-01-2024 11:53:08,5087.0,686.0,1309.0,971.0,1397.0,304.0,390.0,31.0,-676,4411.0
01-01-2024 11:43:18,5107.0,686.0,1300.0,972.0,1396.0,317.0,405.0,30.0,-702,4405.0
01-01-2024 11:33:28,5102.0,697.0,1304.0,970.0,1395.0,337.0,369.0,31.0,-729,4385.0
01-01-2024 11:23:05,5134.0,719.0,1305.0,971.0,1395.0,337.0,376.0,30.0,-759,4385.0
01-01-2024 11:13:05,5227.0,791.0,1329.0,981.0,1391.0,348.0,356.0,31.0,-834,4393.0
01-01-2024 11:03:24,5310.0,813.0,1370.0,1009.0,1393.0,338.0,356.0,31.0,-919,4391.0
01-01-2024 10:43:19,5345.0,826.0,1376.0,1026.0,1395.0,331.0,360.0,32.0,-933,4418.0
01-01-2024 10:33:29,5387.0,840.0,1406.0,1050.0,1397.0,341.0,322.0,32.0,-954,4434.0
01-01-2024 10:23:04,5376.0,837.0,1418.0,1046.0,1397.0,352.0,294.0,32.0,-934,4442.0
01-01-2024 10:13:04,5320.0,830.0,1387.0,1037.0,1393.0,375.0,261.0,32.0,-887,4434.0
01-01-2024 10:03:04,5179.0,802.0,1312.0,1011.0,1398.0,380.0,239.0,31.0,-758,4421.0
01-01-2024 09:53:10,5220.0,797.0,1326.0,1075.0,1397.0,376.0,218.0,31.0,-751,4527.0
01-01-2024 09:43:20,5242.0,800.0,1336.0,1099.0,1392.0,377.0,206.0,32.0,-755,4527.0
01-01-2024 09:33:30,5291.0,792.0,1303.0,1205.0,1396.0,390.0,172.0,32.0,-793,4527.0
